"Falafelbox" frisch gebackene Falafel nach Wahl mit (Gl,We) eine kleinen Portion Pommes frites inkl. 1 Portion Ketchup (Sl) oder Mayonaise (3,Ei,Sf) oder Türkischer Reis (Gl,Ei,La,We) dazu Knoblauchsauce (La) oder Joghurtsauce (La)	445	5.0
Lauchcremesuppe (Gl,So,Sl,Ge)Knusperfilet auf Jackfruitbasis (Gl,We) an Möhren-Ingwer-Rahmgemüse (So)KartoffelnDessertFruchtjoghurt Waldfrucht-Heidelbeer (1,La)	378	3.3
Nachos oder Romanesco	72	1.2
Hühnerfricassee (gekochtes Hühnchen mit Champignons, Erbsen und Spargel in cremiger Sauce) (5,Gl,So,Sl,Sw,G,Ge) mit Reis dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)	378	3.4
Blumenkohlcremesuppe (So)Paprika-Sojarahmgulasch (So)Vollkorn Penne Rigate - Pastasorte (Gl,We) und veganem Gurkensalat (Sf)DessertFruchtjoghurt Pfirsich (La)	378	3.5
Quinoaburger vom Grill im Brötchen mit Zwiebeln, Tomaten und Gurken (2,9,Gl,Se,We,Ro,Ge,Haf)	396	3.3
"Falafel-Dönerteller" Falafel mit frischem Salattopping (Gl,We) eine kleinen Portion Pommes frites inkl. 1 Portion Ketchup (Sl) oder Mayonaise (3,Ei,Sf) oder Türkischer Reis (Gl,Ei,La,We) dazu Knoblauchsauce (La) oder Joghurtsauce (La)	445	4.8
Broccolirahmsuppe (So)Vischstäbchen auf Weizenbasis (Gl,We,Haf) mit Kartoffel-Gurken-Radieschen-Salat (2,So,Sf) dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Pfirsich (La)	378	3.3
Leipziger Allerlei oder Reis	72	2.2
Kartoffel-Gemüse-Gratin "Schwedisch" mit Gemüse (La) mit Sauce Hollandaise (Ei,La,Sw)	235	4.0
marinierte Hähnchenbruststreifen (Gl,So,G,We)	148	2.0
Gebratene Hähnchenbrust (G) mit Mango-Currysauce (La)	317	2.9
